indicator,Unit,Date,Value,Date_clean,Year,Quarter
Value (N'Billion),Billion naira,2016Q4,43.63,2016-10-01,2016,4
Value (N'Billion),Billion naira,2016,132.35,2016-01-01,2016,1
Volume,,2016M1,7324984.0,2016-01-01,2016,1
Volume,,2016M2,8040852.0,2016-02-01,2016,1
Volume,,2016M3,9375944.0,2016-03-01,2016,1
Volume,,2016M4,10057459.0,2016-04-01,2016,2
Volume,,2016M5,10267793.0,2016-05-01,2016,2
Volume,,2016M6,11251309.0,2016-06-01,2016,2
Volume,,2016M7,11468647.0,2016-07-01,2016,3
Volume,,2016M8,13192675.0,2016-08-01,2016,3
Volume,,2016M9,14167649.0,2016-09-01,2016,3
Volume,,2016M10,16004072.0,2016-10-01,2016,4
Volume,,2016M11,19724557.0,2016-11-01,2016,4
Volume,,2016M12,22740509.0,2016-12-01,2016,4
Volume,,2016Q1,24741780.0,2016-01-01,2016,1
Volume,,2016Q2,31576561.0,2016-04-01,2016,2
Volume,,2016Q3,38828971.0,2016-07-01,2016,3
Volume,,2016Q4,58469138.0,2016-10-01,2016,4
Volume,,2016,153616450.0,2016-01-01,2016,1
Value (N'Billion),Billion naira,2016M1,2389.99,2016-01-01,2016,1
Value (N'Billion),Billion naira,2016M2,2499.95,2016-02-01,2016,1
Value (N'Billion),Billion naira,2016M3,2747.25,2016-03-01,2016,1
Value (N'Billion),Billion naira,2016M4,2868.29,2016-04-01,2016,2
Value (N'Billion),Billion naira,2016M5,2762.85,2016-05-01,2016,2
Value (N'Billion),Billion naira,2016M6,3096.94,2016-06-01,2016,2
Value (N'Billion),Billion naira,2016M7,2865.8,2016-07-01,2016,3
Value (N'Billion),Billion naira,2016M8,3352.57,2016-08-01,2016,3
Value (N'Billion),Billion naira,2016M9,3372.76,2016-09-01,2016,3
Value (N'Billion),Billion naira,2016M10,3657.56,2016-10-01,2016,4
Value (N'Billion),Billion naira,2016M11,4149.29,2016-11-01,2016,4
Value (N'Billion),Billion naira,2016M12,4345.83,2016-12-01,2016,4
Value (N'Billion),Billion naira,2016Q1,7637.19,2016-01-01,2016,1
Value (N'Billion),Billion naira,2016Q2,8728.08,2016-04-01,2016,2
Value (N'Billion),Billion naira,2016Q3,9591.13,2016-07-01,2016,3
Value (N'Billion),Billion naira,2016Q4,12152.68,2016-10-01,2016,4
Value (N'Billion),Billion naira,2016,38109.08,2016-01-01,2016,1
Volume,,2016M1,4409735.0,2016-01-01,2016,1
Volume,,2016M2,4522569.0,2016-02-01,2016,1
Volume,,2016M3,5159701.0,2016-03-01,2016,1
Volume,,2016M4,2857602.0,2016-04-01,2016,2
Volume,,2016M5,2852858.0,2016-05-01,2016,2
Volume,,2016M6,2933058.0,2016-06-01,2016,2
Volume,,2016M7,3405110.0,2016-07-01,2016,3
Volume,,2016M8,3742399.0,2016-08-01,2016,3
Volume,,2016M9,3718079.0,2016-09-01,2016,3
Volume,,2016M10,3738399.0,2016-10-01,2016,4
Volume,,2016M11,4889138.0,2016-11-01,2016,4
Volume,,2016M12,4824604.0,2016-12-01,2016,4
Volume,,2016Q1,14092005.0,2016-01-01,2016,1
Volume,,2016Q2,8643518.0,2016-04-01,2016,2
Volume,,2016Q3,10865588.0,2016-07-01,2016,3
Volume,,2016Q4,13452141.0,2016-10-01,2016,4
Volume,,2016,47053252.0,2016-01-01,2016,1
Value (N'Billion),Billion naira,2016Q1,135.24,2016-01-01,2016,1
Value (N'Billion),Billion naira,2016Q2,168.28,2016-04-01,2016,2
Value (N'Billion),Billion naira,2016Q3,223.06,2016-07-01,2016,3
Value (N'Billion),Billion naira,2016Q4,230.31,2016-10-01,2016,4
Value (N'Billion),Billion naira,2016,756.89,2016-01-01,2016,1
Value (N'Billion),Billion naira,2016M1,41.14,2016-01-01,2016,1
Value (N'Billion),Billion naira,2016M2,44.64,2016-02-01,2016,1
Value (N'Billion),Billion naira,2016M3,49.46,2016-03-01,2016,1
Value (N'Billion),Billion naira,2016M4,46.46,2016-04-01,2016,2
Value (N'Billion),Billion naira,2016M5,61.68,2016-05-01,2016,2
Value (N'Billion),Billion naira,2016M6,60.14,2016-06-01,2016,2
Value (N'Billion),Billion naira,2016M7,77.87,2016-07-01,2016,3
Value (N'Billion),Billion naira,2016M8,76.52,2016-08-01,2016,3
Value (N'Billion),Billion naira,2016M9,68.67,2016-09-01,2016,3
Value (N'Billion),Billion naira,2016M10,62.76,2016-10-01,2016,4
Value (N'Billion),Billion naira,2016M11,81.7,2016-11-01,2016,4
Value (N'Billion),Billion naira,2016M12,85.85,2016-12-01,2016,4
Volume,,2016,29754182.0,2016-01-01,2016,1
Volume,,2016Q1,5877038.0,2016-01-01,2016,1
Volume,,2016Q2,7132745.0,2016-04-01,2016,2
Volume,,2016Q3,9527329.0,2016-07-01,2016,3
Volume,,2016Q4,7217070.0,2016-10-01,2016,4
Volume,,2016M1,1663047.0,2016-01-01,2016,1
Volume,,2016M2,1987935.0,2016-02-01,2016,1
Volume,,2016M3,2226056.0,2016-03-01,2016,1
Volume,,2016M4,2089631.0,2016-04-01,2016,2
Volume,,2016M5,1734998.0,2016-05-01,2016,2
Volume,,2016M6,3308116.0,2016-06-01,2016,2
Volume,,2016M7,3431912.0,2016-07-01,2016,3
Volume,,2016M8,3821114.0,2016-08-01,2016,3
Volume,,2016M9,2274303.0,2016-09-01,2016,3
Volume,,2016M10,1961155.0,2016-10-01,2016,4
Volume,,2016M11,2072597.0,2016-11-01,2016,4
Volume,,2016M12,3183318.0,2016-12-01,2016,4
Value (N'Billion),Billion naira,2016,14584.74,2016-01-01,2016,1
Value (N'Billion),Billion naira,2016Q1,2757.67,2016-01-01,2016,1
Value (N'Billion),Billion naira,2016Q2,3041.67,2016-04-01,2016,2
Value (N'Billion),Billion naira,2016Q3,5460.29,2016-07-01,2016,3
Value (N'Billion),Billion naira,2016Q4,3325.11,2016-10-01,2016,4
Value (N'Billion),Billion naira,2016M1,983.68,2016-01-01,2016,1
Value (N'Billion),Billion naira,2016M2,864.09,2016-02-01,2016,1
Value (N'Billion),Billion naira,2016M3,909.9,2016-03-01,2016,1
Value (N'Billion),Billion naira,2016M4,920.33,2016-04-01,2016,2
Value (N'Billion),Billion naira,2016M5,820.0,2016-05-01,2016,2
Value (N'Billion),Billion naira,2016M6,1301.34,2016-06-01,2016,2
Value (N'Billion),Billion naira,2016M7,1870.93,2016-07-01,2016,3
Value (N'Billion),Billion naira,2016M8,2472.49,2016-08-01,2016,3
Value (N'Billion),Billion naira,2016M9,1116.87,2016-09-01,2016,3
Value (N'Billion),Billion naira,2016M10,983.73,2016-10-01,2016,4
Value (N'Billion),Billion naira,2016M11,1054.79,2016-11-01,2016,4
Value (N'Billion),Billion naira,2016M12,1286.59,2016-12-01,2016,4
Total Private Sector Credit,million naira,2016Q1,12882296.38,2016-01-01,2016,1
Total Private Sector Credit,million naira,2016Q2,15144037.09,2016-04-01,2016,2
Total Private Sector Credit,million naira,2016Q3,15787665.63,2016-07-01,2016,3
Total Private Sector Credit,million naira,2016Q4,15750048.51,2016-10-01,2016,4
